1700.00 CONN 9 0 up
1700.00 CONN 9 1 up
1700.00 CONN 1 7 up
1700.00 CONN 1 7 down
1700.00 CONN 1 9 up
1700.00 CONN 9 7 up
1700.00 CONN 9 0 up
1700.00 CONN 9 17 up
1700.00 CONN 9 1 up
1700.00 CONN 12 0 up
1700.00 CONN 1 7 up
1700.00 CONN 12 0 up
1700.00 CONN 12 1 up
1700.00 CONN 1 7 up
1700.00 CONN 11 0 up
1700.00 CONN 11 0 down
1700.00 CONN 11 12 up
1700.00 CONN 11 12 down
1700.00 CONN 1 7 up
1700.00 CONN 1 12 up
1700.00 CONN 11 0 up
1700.00 CONN 11 12 up
1700.00 CONN 1 7 up
1700.00 CONN 1 11 up
1700.00 CONN 1 12 up
1700.00 CONN 6 1 up
1700.00 CONN 4 7 up
1700.00 CONN 4 0 up
1700.00 CONN 6 7 up
1700.00 CONN 4 0 up
1700.00 CONN 8 0 up
1700.00 CONN 8 0 down
1700.00 CONN 8 4 up
1700.00 CONN 8 4 down
1700.00 CONN 4 8 up
1700.00 CONN 4 8 down
1700.00 CONN 8 7 up
1700.00 CONN 8 0 up
1700.00 CONN 8 0 down
1700.00 CONN 8 1 up
1700.00 CONN 8 7 up
1700.00 CONN 8 7 down
1700.00 CONN 8 0 up
1700.00 CONN 8 0 down
1700.00 CONN 8 1 up
1700.00 CONN 8 1 down
1700.00 CONN 13 7 up
1700.00 CONN 13 17 up
1700.00 CONN 13 7 up
1700.00 CONN 13 1 up
1700.00 CONN 13 17 up
1701.00 CONN 13 7 down
1701.00 CONN 13 17 down
1701.00 CONN 6 0 down
1702.00 CONN 16 19 down
1703.00 CONN 2 1 down
1704.00 CONN 4 0 down
1704.00 CONN 7 19 down
1704.00 CONN 6 1 down
1705.00 CONN 1 0 down
1705.00 CONN 1 11 down
1705.00 CONN 8 4 down
1706.00 CONN 6 1 down
1706.00 CONN 16 19 down
1706.00 CONN 0 9 down
1706.00 CONN 11 7 down
1706.00 CONN 19 1 down
1706.00 CONN 3 18 down
1706.00 CONN 18 16 down
1706.00 CONN 0 1 down
1706.00 CONN 12 0 down
1706.00 CONN 6 7 down
1706.00 CONN 8 7 down
1706.00 CONN 8 1 down
1707.00 CONN 17 1 down
1707.00 CONN 9 0 down
1707.00 CONN 12 1 down
1707.00 CONN 11 0 down
1711.00 CONN 18 5 down
1713.00 CONN 17 10 down
1713.00 CONN 4 7 down
1713.00 CONN 4 0 down
1713.00 CONN 4 0 down
1713.00 CONN 13 7 down
1713.00 CONN 13 17 down
1714.00 CONN 18 1 down
1714.00 CONN 13 1 down
1714.00 CONN 12 0 down
